132,132,Akzo Nobel N.V.,AMS:AKZA,18.0,Low ESG Risk
133,133,Al Rajhi Bank,SAU:1120,31.2,High ESG Risk
134,134,Alamos Gold Inc.,TSE:AGI,38.4,High ESG Risk
135,135,"Alaris Equity Partners, Inc.",-,31.6,High ESG Risk
136,136,Alaska Air Group Inc,NYS:ALK,26.5,Medium ESG Risk
137,137,Albemarle Corp,NYS:ALB,36.7,High ESG Risk
138,138,Albioma SA,PAR:ABIO,36.1,High ESG Risk
139,139,Alcoa Corp.,NYS:AA,31.3,High ESG Risk
140,140,"Alcon, Inc.",SWX:ALC,35.1,High ESG Risk
141,141,ALD SA,PAR:ALD,16.2,Low ESG Risk
142,142,Aldar Properties PJSC,ADS:ALDAR,22.5,Medium ESG Risk
143,143,"Alexandria Real Estate Equities, Inc.",NYS:ARE,15.1,Low ESG Risk
144,144,"Alexion Pharmaceuticals, Inc.",NAS:ALXN,18.9,Low ESG Risk
145,145,Alfa Laval AB,OME:ALFA,26.9,Medium ESG Risk
146,146,Alfa S.A.B de C.V,MEX:ALFAA,53.2,Severe ESG Risk
147,147,Alfresa Holdings Corp.,TKS:2784,16.2,Low ESG Risk
148,148,Algonquin Power & Utilities Corp.,TSE:AQN,22.4,Medium ESG Risk
149,149,Alibaba Group Holding Ltd.,HKG:9988,26.2,Medium ESG Risk
150,150,Alibaba Health Information Technology Ltd.,HKG:241,27.9,Medium ESG Risk
151,151,Alibaba Pictures Group Ltd,HKG:1060,17.4,Low ESG Risk
152,152,Align Technology Inc,NAS:ALGN,19.9,Low ESG Risk
153,153,Alimentation Couche-Tard Inc.,TSE:ATD.B,23.8,Medium ESG Risk
154,154,Alinma Bank,SAU:1150,34.5,High ESG Risk
155,155,Alkermes PLC,NAS:ALKS,29.6,Medium ESG Risk
156,156,Alleghany Corp,NYS:Y,33.8,High ESG Risk
157,157,Allegion PLC,NYS:ALLE,23.1,Medium ESG Risk
158,158,Alliance Bank Malaysia Bhd.,KLS:2488,29.0,Medium ESG Risk
159,159,Alliance Data Systems Corp,NYS:ADS,17.6,Low ESG Risk
160,160,Alliander N.V.,-,20.7,Medium ESG Risk
161,161,Alliant Energy Corp.,NAS:LNT,28.0,Medium ESG Risk
162,162,Allianz SE,ETR:ALV,14.8,Low ESG Risk
163,163,Allied Properties Real Estate Investment Trust,TSE:AP.UT,18.2,Low ESG Risk
164,164,Allison Transmission Holdings Inc,NYS:ALSN,29.1,Medium ESG Risk
165,165,Allreal Holding AG,SWX:ALLN,21.4,Medium ESG Risk
166,166,Ally Financial Inc.,NYS:ALLY,23.7,Medium ESG Risk
167,167,Almarai Co. Ltd.,SAU:2280,37.2,High ESG Risk
168,168,"Almirall, S.A.",MCE:ALM,27.8,Medium ESG Risk
169,169,Alnylam Pharmaceuticals Inc,NAS:ALNY,28.8,Medium ESG Risk
170,170,Alpha Bank SA,ATH:ALPHA,20.1,Medium ESG Risk
171,171,Alphabet Inc,NAS:GOOGL,22.3,Medium ESG Risk
172,172,"Alps Alpine Co., Ltd.",TKS:6770,23.4,Medium ESG Risk
173,173,ALROSA PJSC,MIC:ALRS,36.4,High ESG Risk
174,174,ALS Ltd.,ASX:ALQ,23.9,Medium ESG Risk
175,175,Alstom SA,PAR:ALO,20.1,Medium ESG Risk
176,176,alstria office REIT-AG,ETR:AOX,10.9,Low ESG Risk
177,177,Altaba Inc.,OTC:ALTA01,33.8,High ESG Risk
178,178,AltaGas Ltd.,TSE:ALA,36.5,High ESG Risk
179,179,Altarea SCA,PAR:ALTA,14.3,Low ESG Risk
180,180,Alten SA,PAR:ATE,19.2,Low ESG Risk
181,181,"Alteryx, Inc.",NYS:AYX,26.2,Medium ESG Risk
182,182,Altice Europe NV,-,27.7,Medium ESG Risk
183,183,Altice USA Inc,NYS:ATUS,22.4,Medium ESG Risk
184,184,Altium Ltd.,ASX:ALU,17.8,Low ESG Risk
