163,ED,"Consolidated Edison, Inc.",20,Industry: MUW Multi and Water Utilities,13,17,33
164,EW,Edwards Lifesciences Corporation,73,Industry: MTC Health Care Equipment & Supplies,85,68,74
165,2324,"Compal Electronics, Inc.",43,Industry: THQ Computers & Peripherals and Office Electronics,70,36,28
166,EMR,Emerson Electric Co.,25,Industry: ELQ Electrical Components & Equipment,25,13,32
167,EMR,Emerson Electric Co.,25,Industry: ELQ Electrical Components & Equipment,25,13,32
168,ETR,Entergy Corporation,82,Industry: ELC Electric Utilities,78,82,86
169,EOG,"EOG Resources, Inc.",22,Industry: OGX Oil & Gas Upstream & Integrated,11,14,36
170,EFX,Equifax Inc.,13,Industry: PRO Professional Services, 1, 5,26
171,EQIX.REIT,"Equinix, Inc. (REIT)",45,Industry: REA Real Estate,54,32,47
172,AEV,"Aboitiz Equity Ventures, Inc.",35,Industry: IDD Industrial Conglomerates,34,31,38
173,ESS,"Essex Property Trust, Inc.",22,Industry: REA Real Estate,19,16,34
174,EL,The Estée Lauder Companies Inc.,52,Industry: COS Personal Products,71,37,52
175,ETSY,"Etsy, Inc.",53,Industry: RTS Retailing,88,40,45
176,EVRG,"Evergy, Inc.",31,Industry: ELC Electric Utilities,er,er,er
177,ES,Eversource Energy,32,Industry: ELC Electric Utilities,41,17,36
178,RE,"Everest Re Group, Ltd.",29,Industry: INS Insurance,27,17,37
179,EXC,Exelon Corporation,76,Industry: ELC Electric Utilities,82,66,77
180,EXPE,"Expedia Group, Inc.",12,Industry: RTS Retailing,ro,ro,ro
181,EXPD,"Expeditors International of Washington, Inc.",25,Industry: TRA Transportation and Transportation Infrastructure,34,15,28
182,EXR,Extra Space Storage Inc.,35,Industry: REA Real Estate,32,30,48
183,XOM,Exxon Mobil Corporation,36,Industry: OGX Oil & Gas Upstream & Integrated,29,35,40
184,FFIV,"F5 Networks, Inc.",11,Industry: CMT Communications Equipment, 0, 2,23
185,FB,"Facebook, Inc.",14,"Industry: IMS Interactive Media, Services & Home Entertainment",28, 4,14
186,FAST,Fastenal Company,15,Industry: TCD Trading Companies & Distributors,16, 9,21
187,FRT,Federal Realty Investment Trust,36,Industry: REA Real Estate,44,21,42
188,FDX,FedEx Corporation,32,Industry: TRA Transportation and Transportation Infrastructure,48,18,36
189,FIS,"Fidelity National Information Services, Inc.",27,Industry: TSV IT services,16,25,33
190,FITB,Fifth Third Bancorp,49,Industry: BNK Banks,76,29,54
191,FE,FirstEnergy Corp.,41,Industry: ELC Electric Utilities,45,29,49
192,FAB,First Abu Dhabi Bank P.J.S.C.,49,Industry: BNK Banks,60,45,49
193,FISV,"Fiserv, Inc.",22,Industry: TSV IT services,20,10,30
194,FLT,"FLEETCOR Technologies, Inc.",11,Industry: TSV IT services, 0, 3,20
195,FLIR,"FLIR Systems, Inc.",11,"Industry: ITC Electronic Equipment, Instruments & Components", 3, 1,25
